MBID,Freq mean, Freq std, Extent mean, Extent std
0430401f-6ca3-404c-b4e2-458664ee2b33,4.535,0.495,96.969,52.327
0ae4c5e8-2fda-404b-bc17-d2504c67d8b0,4.542,0.462,93.23,40.078
0b859889-2e36-4f11-b314-dfa8972a41b2,4.842,0.577,89.281,38.442
0e391082-4fd3-4d70-9392-916ed87a4c48,4.515,0.486,120.035,47.646
0f548bfa-d2b6-434c-8e95-a5b17d4121ba,4.338,0.276,100.65,64.437
14b31e89-32b0-41ea-91ff-07880e931746,4.744,0.799,160.586,59.131
150b2007-c66e-4cb0-8d2b-3ea55746e803,4.432,0.546,121.474,56.199
17c31c65-0da7-421a-bc76-267ffc8cce7d,4.585,0.601,92.654,56.05
1cc72241-f336-482d-a4a7-49f7fc9d1f1f,4.661,0.705,108.052,44.424
1ee33962-7ed7-40c5-9f7f-3a95746172ae,4.425,0.439,133.601,62.112
244fe4a4-e893-43ca-834f-522ab6c0e57f,4.667,0.832,104.034,58.817
2b2c5778-d049-492f-8448-1bc1db3b6d8c,4.907,0.594,125.135,48.473
35157171-cea0-46ba-8127-cd9a1a085365,4.596,0.634,128.027,45.346
37acb317-3ef0-4f91-ad1f-36d793ba7378,4.745,0.885,156.429,50.277
3bead33c-91b2-4696-a960-8269006ff436,4.599,0.608,135.143,54.323
3cd81487-ecec-4dca-ab40-c41fc0bb1d46,4.569,0.514,125.307,50.797
41067770-0249-4fb8-8bdd-ae650faf99ef,4.642,0.534,135.882,47.252
45818052-3fd0-49c1-a90f-1555bd3b38c9,4.622,0.607,121.947,58.897
47672aa5-f396-425e-a779-0750054d2f83,4.481,0.496,97.019,43.991
4fd4f1ca-d3b2-4754-9657-660fc6cd7614,4.474,0.434,111.174,42.984
51139ef0-1d14-4ec6-85ae-098c82a26e43,4.538,0.517,149.274,59.141
5368460a-6a55-4a76-9855-5a4e8c10c486,4.685,0.505,109.652,37.417
53f20c98-e66b-4a74-adc3-b0e764255c78,4.678,0.57,148.664,87.796
65638fc4-0258-44d4-b2cd-2186a439465f,4.535,0.547,86.146,30.457
66a75b20-87a4-4ee8-b1b5-5d1d96749db5,4.607,0.672,139.882,63.007
6cecc622-a5e1-4ba2-acc4-5e5840a0b067,4.39,0.405,99.306,50.254
7bfccadd-3b2b-4156-9fe1-ecf7e05c59a1,4.892,0.575,116.481,44.453
7d88c651-5dea-48e5-b21a-ac964cff5cad,4.753,0.507,116.39,45.502
7f49c061-f658-4b95-96c4-6cd1aded456d,4.614,0.881,149.153,54.649
8f8f52f8-d315-45cc-a39b-adb0185da781,4.541,0.479,107.918,52.163
913c90e8-1f15-4942-82ee-5ae56294f678,4.486,0.45,104.372,50.915
94786768-7df0-4e7c-82a8-2bc4827f4ef9,4.859,0.674,128.959,53.623
a2fce5ef-e471-4c78-93df-3727ffea66b3,4.624,0.58,96.257,41.008
a513f774-ee82-4fe5-b4ae-0f423f30ea17,4.824,0.746,116.507,47.156
a54d9e69-1fcc-434c-b1ba-8ec3bd37c023,4.606,0.63,150.249,60.574
a88877b4-89d2-4ceb-9100-278d49b041e2,4.539,0.635,88.45,34.858
ac59a0a0-70d0-43e5-b862-274ff7790297,4.406,0.372,109.576,49.747
b821a8bc-238c-4715-a498-b3a93d0daa22,4.369,0.396,161.763,46.588
c0527cb1-be5a-4b32-9151-b4d5a06d1d49,4.685,0.659,203.474,37.257
c13e8ec7-c6c6-490b-8b7a-1f39a94fefa0,4.486,0.525,103.181,50.91
c49373b0-cf8d-4f92-b38f-bb41ab02647b,4.557,0.627,163.154,48.503
d47cdd3b-4e68-4430-8f5b-03aa243447e9,4.742,0.539,153.656,36.524
da766f62-a284-40e4-8a30-aa0f76cf67f1,4.769,0.549,118.105,42.615
de358461-1752-4526-9c73-388c86a34e7f,4.842,0.587,126.812,45.379
e6d17272-53fc-427e-a1cc-1125b38f2431,4.778,0.58,122.912,45.738
e70686cc-fd5f-4bd1-9a20-bf95ad19483f,4.595,0.769,140.496,48.496
e80cf1ff-ec88-4974-973a-02a2cc58ac9a,4.422,0.475,185.965,50.802
e97391f4-cc2e-4aae-ad34-1df0c6dcebda,4.686,0.548,110.645,44.308
f59885ce-752a-442d-8a84-e3b81551426f,4.821,0.691,131.444,36.542
